Rk,Player,Squad,90s,CrdY,CrdR,2CrdY,Fls,Code,Team,Confederation
118,Alireza Beiranvand,ir IR Iran,3.0,0,0,0,0,ir,IR Iran,
119,Zineddine Belaïd,dz Algeria,0.3,0,0,0,0,dz,Algeria,
120,Rafik Belghali,dz Algeria,3.7,0,0,0,4,dz,Algeria,
121,Joe Bell,nz New Zealand,2.7,0,0,0,3,nz,New Zealand,
122,Jean-Ricner Bellegarde,ht Haiti,2.9,1,0,0,4,ht,Haiti,
123,Jude Bellingham,eng England,6.8,1,0,0,9,eng,England,UEFA
124,Mortadha Ben Ouanes,tn Tunisia,0.3,0,0,0,0,tn,Tunisia,
125,Anis Ben Slimane,tn Tunisia,2.7,0,0,0,0,tn,Tunisia,
126,Oussama Benbot,dz Algeria,1.0,0,0,0,0,dz,Algeria,
127,Nadhir Benbouali,dz Algeria,0.5,0,0,0,0,dz,Algeria,
128,Gilson Benchimol,cv Cabo Verde,0.9,0,0,0,0,cv,Cabo Verde,
129,Ramy Bensebaini,dz Algeria,4.0,0,0,0,1,dz,Algeria,
130,Nabil Bentaleb,dz Algeria,3.2,0,0,0,2,dz,Algeria,
131,Rodrigo Bentancur,uy Uruguay,3.0,1,0,0,7,uy,Uruguay,CONMEBOL
132,Patrick Berg,no Norway,4.9,1,0,0,4,no,Norway,UEFA
133,Sander Berge,no Norway,5.3,0,0,0,6,no,Norway,UEFA
134,Lucas Bergvall,se Sweden,2.0,1,0,0,7,se,Sweden,UEFA
135,Sebastian Berhalter,us USA,2.1,1,0,0,5,us,USA,
136,Alexander Bernhardsson,se Sweden,2.4,0,0,0,2,se,Sweden,UEFA
137,Tyler Bindon,nz New Zealand,1.1,0,0,0,2,nz,New Zealand,
138,César Blackman,pa Panama,2.0,1,0,0,2,pa,Panama,
139,Damián Bobadilla,py Paraguay,2.1,0,0,0,1,py,Paraguay,CONMEBOL
140,Oscar Bobb,no Norway,2.5,0,0,0,1,no,Norway,UEFA
141,Moïse Bombito,ca Canada,2.1,0,0,0,2,ca,Canada,
142,Theo Bongonda,cd Congo DR,0.4,0,0,0,0,cd,Congo DR,
143,Ange-Yoan Bonny,ci Côte d'Ivoire,2.6,0,0,0,1,ci,Côte d'Ivoire,
144,Jordy Bos,au Australia,3.4,1,0,0,4,au,Australia,
145,Ayyoub Bouaddi,ma Morocco,4.2,0,0,0,3,ma,Morocco,
146,Hicham Boudaoui,dz Algeria,1.4,1,0,0,4,dz,Algeria,
147,Karim Boudiaf,qa Qatar,1.1,0,0,0,0,qa,Qatar,
148,Adil Boulbina,dz Algeria,0.2,0,0,0,0,dz,Algeria,
149,Yassine Bounou,ma Morocco,6.3,0,0,0,0,ma,Morocco,
150,Nawaf Boushal,sa Saudi Arabia,1.0,0,0,0,1,sa,Saudi Arabia,
151,Michael Boxall,nz New Zealand,2.3,0,0,0,2,nz,New Zealand,
152,Sultan Al-Brake,qa Qatar,1.6,0,0,0,2,qa,Qatar,
153,Joshua Brenet,cw Curaçao,2.0,0,0,0,0,cw,Curaçao,
154,Brian Brobbey,nl Netherlands,2.5,0,0,0,4,nl,Netherlands,UEFA
155,Dylan Bronn,tn Tunisia,0.5,0,0,0,1,tn,Tunisia,
156,Nathaniel Brown,de Germany,3.1,0,0,0,4,de,Germany,UEFA
157,Tajon Buchanan,ca Canada,4.2,0,0,0,5,ca,Canada,
158,Ante Budimir,hr Croatia,1.7,0,0,0,6,hr,Croatia,UEFA
159,Firas Al-Buraikan,sa Saudi Arabia,2.6,1,0,0,2,sa,Saudi Arabia,
160,Cameron Burgess,au Australia,1.5,0,0,0,0,au,Australia,
161,Dan Burn,eng England,0.4,0,0,0,1,eng,England,UEFA
162,Dženis Burnić,ba Bosnia–Herz,0.2,0,0,0,0,ba,Bosnia–Herz,UEFA
163,Gustavo Caballero,py Paraguay,1.1,0,0,0,2,py,Paraguay,CONMEBOL
164,Jovane Cabral,cv Cabo Verde,1.5,0,0,0,1,cv,Cabo Verde,
165,Liberato Cacace,nz New Zealand,2.4,0,0,0,1,nz,New Zealand,
166,Juan Cáceres,py Paraguay,4.8,1,0,0,9,py,Paraguay,CONMEBOL
167,Sebastián Cáceres,uy Uruguay,3.0,0,0,0,2,uy,Uruguay,CONMEBOL
168,Jordy Caicedo,ec Ecuador,0.2,0,0,0,2,ec,Ecuador,CONMEBOL
169,Moisés Caicedo,ec Ecuador,4.0,1,0,0,5,ec,Ecuador,CONMEBOL
170,Uğurcan Çakır,tr Türkiye,3.0,0,0,0,0,tr,Türkiye,UEFA
171,Hakan Çalhanoğlu,tr Türkiye,2.0,0,0,0,2,tr,Türkiye,UEFA
172,Lamine Camara,sn Senegal,2.8,1,0,0,5,sn,Senegal,
173,Jaminton Campaz,co Colombia,0.8,0,0,0,2,co,Colombia,CONMEBOL
174,İrfan Can Kahveci,tr Türkiye,0.0,0,0,0,0,tr,Türkiye,UEFA
175,José Canale,py Paraguay,1.8,0,0,0,1,py,Paraguay,CONMEBOL
176,João Cancelo,pt Portugal,3.5,0,0,0,6,pt,Portugal,UEFA
177,Agustín Canobbio,uy Uruguay,2.5,0,1,0,7,uy,Uruguay,CONMEBOL
178,Casemiro,br Brazil,4.2,2,0,0,6,br,Brazil,CONMEBOL
179,Josué Casimir,ht Haiti,2.0,1,0,0,4,ht,Haiti,
180,Timothy Castagne,be Belgium,5.3,1,0,0,7,be,Belgium,UEFA
181,Kevin Castaño,co Colombia,0.2,0,0,0,0,co,Colombia,CONMEBOL
182,Jens Castrop,kr Korea Republic,0.5,0,0,0,3,kr,Korea Republic,
183,Zeki Çelik,tr Türkiye,1.8,0,0,0,1,tr,Türkiye,UEFA
184,Lukáš Červ,cz Czechia,1.8,0,0,0,3,cz,Czechia,UEFA
185,Fares Chaïbi,dz Algeria,4.0,1,0,0,3,dz,Algeria,
186,Trevoh Chalobah,eng England,0.0,0,0,0,0,eng,England,UEFA
187,Štěpán Chaloupek,cz Czechia,1.0,0,0,0,1,cz,Czechia,UEFA
188,Mouhib Chamakh,tn Tunisia,1.0,0,0,0,0,tn,Tunisia,
189,Firas Chaouat,tn Tunisia,0.5,0,0,0,1,tn,Tunisia,
190,Luis Chávez,mx Mexico,0.3,0,0,0,1,mx,Mexico,
191,Mateo Chávez,mx Mexico,0.9,0,0,0,1,mx,Mexico,
192,Samir Chergui,dz Algeria,0.2,0,0,0,0,dz,Algeria,
193,Rayan Cherki,fr France,1.4,0,0,0,2,fr,France,UEFA
194,Mathieu Choinière,ca Canada,0.6,0,0,0,1,ca,Canada,
195,Tahith Chong,cw Curaçao,2.7,0,0,0,3,cw,Curaçao,
196,Tomáš Chorý,cz Czechia,0.3,0,0,0,2,cz,Czechia,UEFA
197,Ryan Christie,sct Scotland,1.1,1,0,0,2,sct,Scotland,UEFA
198,Carney Chukwuemeka,at Austria,0.9,0,0,0,2,at,Austria,UEFA
199,Mojmír Chytil,cz Czechia,0.1,0,0,0,1,cz,Czechia,UEFA
200,Brian Cipenga,cd Congo DR,1.6,0,0,0,2,cd,Congo DR,
201,Alessandro Circati,au Australia,4.3,1,0,0,5,au,Australia,
202,Pathé Ciss,sn Senegal,2.0,0,0,0,1,sn,Senegal,
203,Livano Comenencia,cw Curaçao,2.6,1,0,0,4,cw,Curaçao,
204,Eray Cömert,ch Switzerland,0.3,0,0,0,0,ch,Switzerland,UEFA
205,Francisco Conceição,pt Portugal,1.4,0,0,0,1,pt,Portugal,UEFA
206,Jhon Córdoba,co Colombia,1.1,0,0,0,1,co,Colombia,CONMEBOL
207,José Córdoba,pa Panama,3.0,0,0,0,5,pa,Panama,
208,Derek Cornelius,ca Canada,3.5,1,0,0,4,ca,Canada,
209,Diogo Costa,pt Portugal,5.0,0,0,0,0,pt,Portugal,UEFA
210,Nuno da Costa,cv Cabo Verde,1.8,0,0,0,0,cv,Cabo Verde,
211,Samu Costa,pt Portugal,0.2,0,0,0,0,pt,Portugal,UEFA
212,Vladimír Coufal,cz Czechia,3.0,0,0,0,4,cz,Czechia,UEFA
213,Thibaut Courtois,be Belgium,6.1,0,0,0,0,be,Belgium,UEFA
214,Maxime Crépeau,ca Canada,5.0,0,0,0,1,ca,Canada,
215,Max Crocombe,nz New Zealand,3.0,0,0,0,0,nz,New Zealand,
216,Pau Cubarsí,es Spain,8.3,1,0,0,4,es,Spain,UEFA
217,Andrés Cubas,py Paraguay,5.3,1,0,0,14,py,Paraguay,CONMEBOL
218,Cucho,co Colombia,0.6,0,0,0,0,co,Colombia,CONMEBOL
219,Marc Cucurella,es Spain,8.3,1,0,0,8,es,Spain,UEFA
220,Matheus Cunha,br Brazil,3.2,0,0,0,1,br,Brazil,CONMEBOL
221,Findlay Curtis,sct Scotland,0.1,1,0,0,1,sct,Scotland,UEFA
222,Aymen Dahmen,tn Tunisia,2.0,0,0,0,0,tn,Tunisia,
223,Diogo Dalot,pt Portugal,0.7,0,0,0,0,pt,Portugal,UEFA
224,Danilo,br Brazil,4.5,2,0,0,7,br,Brazil,CONMEBOL
225,Kevin Danso,at Austria,2.7,0,0,0,1,at,Austria,UEFA
226,Vladimír Darida,cz Czechia,0.6,0,0,0,0,cz,Czechia,UEFA
227,Jonathan David,ca Canada,4.7,1,0,0,5,ca,Canada,
228,Promise David,ca Canada,0.9,0,0,0,4,ca,Canada,
229,Alphonso Davies,ca Canada,0.2,0,0,0,0,ca,Canada,
230,Erick Davis,pa Panama,0.0,0,0,0,0,pa,Panama,
231,Nasser Al-Dawsari,sa Saudi Arabia,2.3,1,0,0,7,sa,Saudi Arabia,
232,Salem Al-Dawsari,sa Saudi Arabia,2.7,1,0,0,3,sa,Saudi Arabia,
233,Mohammad Al-Dawud,jo Jordan,0.0,0,0,0,0,jo,Jordan,
234,Kevin De Bruyne,be Belgium,4.2,1,0,0,2,be,Belgium,UEFA
235,Maxim De Cuyper,be Belgium,4.9,1,0,0,7,be,Belgium,UEFA
236,Luc De Fougerolles,ca Canada,4.1,2,0,0,8,ca,Canada,
237,Charles De Ketelaere,be Belgium,3.9,0,0,0,2,be,Belgium,UEFA
238,Nicolás De La Cruz,uy Uruguay,1.0,1,0,0,2,uy,Uruguay,CONMEBOL
239,Rodrigo De Paul,ar Argentina,5.5,1,0,0,2,ar,Argentina,CONMEBOL
240,Amar Dedić,ba Bosnia–Herz,3.0,1,0,0,6,ba,Bosnia–Herz,UEFA
241,Louicius Deedson,ht Haiti,1.2,0,0,0,3,ht,Haiti,
242,Hannes Delcroix,ht Haiti,3.0,0,0,0,1,ht,Haiti,
243,Ousmane Dembélé,fr France,6.6,0,0,0,0,fr,France,UEFA
244,Merih Demiral,tr Türkiye,2.0,0,0,0,2,tr,Türkiye,UEFA
245,Ermedin Demirović,ba Bosnia–Herz,3.9,1,0,0,11,ba,Bosnia–Herz,UEFA
246,Sergiño Dest,us USA,3.3,0,0,0,2,us,USA,
247,Frans Dhia Putros,iq Iraq,1.0,0,0,0,2,iq,Iraq,
248,Oumar Diakité,ci Côte d'Ivoire,0.3,0,0,0,0,ci,Côte d'Ivoire,
249,Amad Diallo,ci Côte d'Ivoire,2.1,0,0,0,0,ci,Côte d'Ivoire,
250,Assane Diao,sn Senegal,0.1,0,0,0,0,sn,Senegal,
251,Habib Diarra,sn Senegal,1.6,0,0,0,2,sn,Senegal,
252,Rúben Dias,pt Portugal,4.0,1,0,0,6,pt,Portugal,UEFA
253,Krépin Diatta,sn Senegal,4.3,0,0,0,4,sn,Senegal,
254,Mory Diaw,sn Senegal,2.6,0,0,0,0,sn,Senegal,
255,Brahim Díaz,ma Morocco,5.1,0,0,0,3,ma,Morocco,
256,Ismael Díaz,pa Panama,0.4,0,0,0,0,pa,Panama,
257,Luis Díaz,co Colombia,5.3,0,0,0,7,co,Colombia,CONMEBOL
258,Bamba Dieng,sn Senegal,0.1,0,0,0,0,sn,Senegal,
259,Lucas Digne,fr France,5.1,0,0,0,7,fr,France,UEFA
260,Diney,cv Cabo Verde,4.3,1,0,0,2,cv,Cabo Verde,
261,Ousmane Diomande,ci Côte d'Ivoire,1.0,0,0,0,0,ci,Côte d'Ivoire,
262,Yan Diomandé,ci Côte d'Ivoire,3.7,0,0,0,2,ci,Côte d'Ivoire,
263,Issa Diop,ma Morocco,5.3,3,0,0,4,ma,Morocco,
264,El Hadji Malick Diouf,sn Senegal,1.9,0,0,0,2,sn,Senegal,
265,Ritsu Doan,jp Japan,3.1,0,0,0,6,jp,Japan,
266,Jeremy Doku,be Belgium,3.4,0,0,0,4,be,Belgium,UEFA
267,Merchas Doski,iq Iraq,3.0,1,0,0,3,iq,Iraq,
268,David Douděra,cz Czechia,1.0,0,0,0,0,cz,Czechia,UEFA
269,Désiré Doué,fr France,4.4,0,0,0,4,fr,France,UEFA
270,Guéla Doué,ci Côte d'Ivoire,3.1,1,0,0,6,ci,Côte d'Ivoire,
271,Deroy Duarte,cv Cabo Verde,2.9,0,0,0,4,cv,Cabo Verde,
272,Laros Duarte,cv Cabo Verde,1.8,0,0,0,0,cv,Cabo Verde,
273,Denzel Dumfries,nl Netherlands,4.3,0,0,0,6,nl,Netherlands,UEFA
274,Jean-Kevin Duverne,ht Haiti,1.9,0,0,0,2,ht,Haiti,
275,Lyndon Dykes,sct Scotland,0.4,0,0,0,2,sct,Scotland,UEFA
276,Edin Džeko,ba Bosnia–Herz,2.0,1,0,0,1,ba,Bosnia–Herz,UEFA
277,Roshon van Eijma,cw Curaçao,0.2,0,0,0,0,cw,Curaçao,
278,Anthony Elanga,se Sweden,2.4,0,0,0,0,se,Sweden,UEFA
279,Meschak Elia,cd Congo DR,0.5,0,0,0,2,cd,Congo DR,
280,Callan Elliot,nz New Zealand,0.1,0,0,0,0,nz,New Zealand,
281,Eren Elmalı,tr Türkiye,1.2,1,0,0,2,tr,Türkiye,UEFA
282,Nico Elvedi,ch Switzerland,6.7,1,0,0,5,ch,Switzerland,UEFA
283,Breel Embolo,ch Switzerland,5.6,2,1,1,9,ch,Switzerland,UEFA
284,Julio Enciso,py Paraguay,4.3,0,0,0,3,py,Paraguay,CONMEBOL
285,Endrick,br Brazil,1.3,0,0,0,1,br,Brazil,CONMEBOL
286,Sherzod Esanov,uz Uzbekistan,0.0,0,0,0,0,uz,Uzbekistan,
287,Fidel Escobar,pa Panama,1.0,0,0,0,1,pa,Panama,
288,Pervis Estupiñán,ec Ecuador,1.0,0,0,0,3,ec,Ecuador,CONMEBOL
289,Derrick Etienne,ht Haiti,0.1,0,0,0,0,ht,Haiti,
290,Stephen Eustáquio,ca Canada,4.4,0,0,0,2,ca,Canada,
291,Martin Expérience,ht Haiti,3.0,0,0,0,7,ht,Haiti,
292,Saeid Ezatolahi,ir IR Iran,2.9,2,0,0,7,ir,IR Iran,
293,Eberechi Eze,eng England,2.3,0,0,0,2,eng,England,UEFA
294,Fabinho,br Brazil,0.8,1,0,0,4,br,Brazil,CONMEBOL
295,José Fajardo,pa Panama,1.7,1,0,0,4,pa,Panama,
296,Odeh Al-Fakhouri,jo Jordan,1.6,0,0,0,2,jo,Jordan,
297,Henrik Falchener,no Norway,0.7,0,0,0,0,no,Norway,UEFA
298,Marko Farji,iq Iraq,0.6,0,0,0,0,iq,Iraq,
299,Christian Fassnacht,ch Switzerland,0.1,0,0,0,0,ch,Switzerland,UEFA
300,Abdul Fatawu Issahaku,gh Ghana,1.5,1,0,0,1,gh,Ghana,
301,Ahmed Fathy,qa Qatar,1.7,2,0,0,2,qa,Qatar,
302,Hamdy Fathy,eg Egypt,2.6,1,0,0,3,eg,Egypt,
303,Ahmed Fatouh,eg Egypt,3.0,1,0,0,2,eg,Egypt,
304,Abbosbek Fayzullayev,uz Uzbekistan,2.4,0,0,0,6,uz,Uzbekistan,
305,João Félix,pt Portugal,2.2,0,0,0,3,pt,Portugal,UEFA
306,Lewis Ferguson,sct Scotland,3.0,0,0,0,5,sct,Scotland,UEFA
307,Bruno Fernandes,pt Portugal,4.7,0,0,0,2,pt,Portugal,UEFA
308,Enzo Fernández,ar Argentina,7.3,2,1,1,12,ar,Argentina,CONMEBOL
309,Matias Fernandez-Pardo,be Belgium,0.5,0,0,0,0,be,Belgium,UEFA
310,Álvaro Fidalgo,mx Mexico,1.1,0,0,0,0,mx,Mexico,
311,Sherel Floranus,cw Curaçao,3.0,0,0,0,2,cw,Curaçao,
312,Seko Fofana,ci Côte d'Ivoire,1.0,1,0,0,1,ci,Côte d'Ivoire,
313,Yahia Fofana,ci Côte d'Ivoire,4.0,0,0,0,0,ci,Côte d'Ivoire,
314,Deveron Fonville,cw Curaçao,2.7,0,0,0,2,cw,Curaçao,
315,Yassin Fortuné,ht Haiti,0.1,0,0,0,0,ht,Haiti,
316,Lyle Foster,za South Africa,0.6,0,0,0,0,za,South Africa,
317,Alan Franco,ec Ecuador,2.8,2,0,0,7,ec,Ecuador,CONMEBOL
318,Alex Freeman,us USA,4.2,0,0,0,1,us,USA,
319,Matt Freese,us USA,4.0,0,0,0,0,us,USA,
320,Remo Freuler,ch Switzerland,6.6,0,0,0,8,ch,Switzerland,UEFA
321,Marco Friedl,at Austria,0.3,0,0,0,0,at,Austria,UEFA
322,Juriën Gaari,cw Curaçao,1.8,1,0,0,4,cw,Curaçao,
323,Jassem Gaber,qa Qatar,1.7,1,0,0,7,qa,Qatar,
324,Cody Gakpo,nl Netherlands,4.1,0,0,0,3,nl,Netherlands,UEFA
325,Matías Galarza,py Paraguay,4.3,2,0,0,10,py,Paraguay,CONMEBOL
326,Hernán Galíndez,ec Ecuador,4.0,0,0,0,0,ec,Ecuador,CONMEBOL
327,Jesús Gallardo,mx Mexico,4.1,0,0,0,7,mx,Mexico,
328,Ahmed Al-Ganehi,qa Qatar,0.4,0,0,0,1,qa,Qatar,
329,Ben Gannon-Doak,sct Scotland,2.1,0,0,0,3,sct,Scotland,UEFA
330,Eric García,es Spain,0.2,0,0,0,1,es,Spain,UEFA
331,Gavi,es Spain,0.8,0,0,0,2,es,Spain,UEFA
332,Jason Geria,au Australia,0.7,0,0,0,2,au,Australia,
333,Khalid Al Ghannam,sa Saudi Arabia,0.0,0,0,0,0,sa,Saudi Arabia,
334,Ismaël Gharbi,tn Tunisia,1.4,0,0,0,0,tn,Tunisia,
335,Mehdi Ghayedi,ir IR Iran,0.5,0,0,0,2,ir,IR Iran,
336,Farés Ghedjemis,dz Algeria,0.0,0,0,0,0,dz,Algeria,
337,Saman Ghoddos,ir IR Iran,2.3,0,0,0,3,ir,IR Iran,
338,Mohammad Ghorbani,ir IR Iran,1.0,0,0,0,2,ir,IR Iran,
339,Lee Gi-hyuk,kr Korea Republic,3.0,1,0,0,2,kr,Korea Republic,
340,Armin Gigovic,ba Bosnia–Herz,0.9,0,0,0,0,ba,Bosnia–Herz,UEFA
341,Orlando Gill,py Paraguay,5.3,0,0,0,0,py,Paraguay,CONMEBOL
342,Santiago Giménez,mx Mexico,1.0,0,0,0,1,mx,Mexico,
343,Aníbal Godoy,pa Panama,0.0,0,0,0,0,pa,Panama,
344,Andrés Gómez,co Colombia,0.0,0,0,0,0,co,Colombia,CONMEBOL
345,Diego Gómez,py Paraguay,3.4,2,0,0,5,py,Paraguay,CONMEBOL
346,Gustavo Gómez,py Paraguay,5.3,0,0,0,3,py,Paraguay,CONMEBOL
347,Armando González,mx Mexico,0.2,0,0,0,1,mx,Mexico,
348,Nicolás González,ar Argentina,2.9,0,0,0,4,ar,Argentina,CONMEBOL
349,Anthony Gordon,eng England,4.4,0,0,0,4,eng,England,UEFA
350,Leon Goretzka,de Germany,1.1,0,0,0,0,de,Germany,UEFA
351,Kenji Gorré,cw Curaçao,0.2,0,0,0,0,cw,Curaçao,
352,Keisuke Gotō,jp Japan,0.1,0,0,0,0,jp,Japan,
353,Amine Gouiri,dz Algeria,2.8,0,0,0,1,dz,Algeria,
354,Ryan Gravenberch,nl Netherlands,3.8,0,0,0,5,nl,Netherlands,UEFA
355,Michael Gregoritsch,at Austria,2.1,0,0,0,1,at,Austria,UEFA
356,Florian Grillitsch,at Austria,1.0,0,0,0,3,at,Austria,UEFA
357,Pascal Groß,de Germany,0.2,0,0,0,1,de,Germany,UEFA
358,Gabriel Gudmundsson,se Sweden,3.7,1,0,0,5,se,Sweden,UEFA
359,Cho Gue-sung,kr Korea Republic,0.3,1,0,0,1,kr,Korea Republic,
360,Marc Guéhi,eng England,7.4,1,0,0,4,eng,England,UEFA
361,Evann Guessand,ci Côte d'Ivoire,0.2,0,0,0,1,ci,Côte d'Ivoire,
362,Idrissa Gueye,sn Senegal,4.0,0,0,0,2,sn,Senegal,
363,Pape Gueye,sn Senegal,2.6,1,0,0,4,sn,Senegal,
364,Bruno Guimarães,br Brazil,4.6,0,0,0,4,br,Brazil,CONMEBOL
365,Deniz Gül,tr Türkiye,0.4,0,0,0,2,tr,Türkiye,UEFA
366,Arda Güler,tr Türkiye,3.0,0,0,0,3,tr,Türkiye,UEFA
367,Angus Gunn,sct Scotland,3.0,0,0,0,0,sct,Scotland,UEFA
368,Malo Gusto,fr France,1.3,0,0,0,4,fr,France,UEFA
369,Brian Gutiérrez,mx Mexico,2.2,1,0,0,5,mx,Mexico,
370,Jorge Gutiérrez,pa Panama,1.0,0,0,0,1,pa,Panama,
371,Joško Gvardiol,hr Croatia,1.5,0,0,0,2,hr,Croatia,UEFA
372,Viktor Gyökeres,se Sweden,4.0,1,0,0,4,se,Sweden,UEFA
373,Aziz Gʻaniyev,uz Uzbekistan,1.4,0,0,0,2,uz,Uzbekistan,
